cluster_id,gaia_name,radius_deg,disp_p02_3,disp_p15_9,disp_p50,disp_p84_1,disp_p97_7,rot_p02_3,rot_p15_9,rot_p50,rot_p84_1,rot_p97_7,rot_extra,source_file
BH_140,BH_140,0.165,0.0578435,0.0676058,0.073434,0.0791868,0.0837545,-0.0212286,-0.00675142,0.00826455,0.0245663,0.0379972,0.0151807,profiles/BH_140.txt
BH_140,BH_140,0.166667,0.0578216,0.0675929,0.0734306,0.079186,0.0837544,-0.0212411,-0.00674964,0.00828787,0.024585,0.0380624,0.0150467,profiles/BH_140.txt
BH_261_AL_3,BH_261_AL_3,0.0,0.0503629,0.0787511,0.111321,0.149681,0.190039,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.000333333,0.0501324,0.0781534,0.109924,0.147159,0.186432,-0.00572662,-0.00313119,-0.000885445,0.0014245,0.00395301,-0.000461887,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.000666667,0.0495997,0.0773113,0.108683,0.144997,0.182767,-0.0114379,-0.00625509,-0.0017686,0.00284412,0.00789482,-0.000918953,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.001,0.0486378,0.0764658,0.107013,0.142235,0.178442,-0.0171249,-0.00936439,-0.00264717,0.00425028,0.0118142,-0.00136654,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00133333,0.0478619,0.0753591,0.105184,0.139676,0.17582,-0.0227742,-0.0124518,-0.00352501,0.00564778,0.0157,-0.00180033,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00166667,0.047142,0.0741606,0.103088,0.137068,0.172107,-0.0283731,-0.01551,-0.0043875,0.00702848,0.019541,-0.00221642,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.002,0.0463987,0.073067,0.101472,0.134727,0.168969,-0.0339018,-0.0185432,-0.00525024,0.00838142,0.0233537,-0.00261149,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00233333,0.0454571,0.0718516,0.0998761,0.132212,0.167095,-0.0393349,-0.021522,-0.00609907,0.00972055,0.0271244,-0.00298284,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00266667,0.0443153,0.0706721,0.0978708,0.130002,0.164363,-0.0446677,-0.0244657,-0.00696209,0.0110259,0.030839,-0.00332842,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.003,0.0438036,0.0690834,0.0962086,0.127756,0.161361,-0.0498861,-0.0273079,-0.00777649,0.0123079,0.0344871,-0.00364682,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00333333,0.0425514,0.0677693,0.0939993,0.125529,0.158931,-0.0549744,-0.0301277,-0.00857778,0.0135216,0.0380587,-0.00393727,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00366667,0.0417278,0.0667426,0.0920335,0.123813,0.157003,-0.0599181,-0.032923,-0.00935204,0.0147234,0.0413356,-0.00419954,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.004,0.0413254,0.0652499,0.090642,0.122013,0.154818,-0.0647037,-0.0355541,-0.0100924,0.0158435,0.0443487,-0.00443392,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00433333,0.0402501,0.0639508,0.0887653,0.120088,0.152532,-0.0693166,-0.0380855,-0.0108634,0.016928,0.0472851,-0.00464111,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00466667,0.0386296,0.0621021,0.0873303,0.117996,0.150392,-0.0737853,-0.0405269,-0.0115674,0.0179715,0.0502062,-0.00482214,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.005,0.0376588,0.0607914,0.0855382,0.116202,0.14779,-0.0780852,-0.0428529,-0.0122064,0.019029,0.0529682,-0.00497832,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00533333,0.0362187,0.0595772,0.0839944,0.114176,0.145845,-0.0821844,-0.0450337,-0.012866,0.0198956,0.0555115,-0.00511113,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00566667,0.0352002,0.0590161,0.0825532,0.112485,0.144113,-0.0860623,-0.047149,-0.0133577,0.0206865,0.0579077,-0.00522216,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.006,0.0336159,0.0575876,0.0809644,0.110704,0.14284,-0.0897111,-0.0492271,-0.0139607,0.0214631,0.0601161,-0.00531308,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00633333,0.0319288,0.056338,0.0795121,0.109111,0.1407,-0.0931176,-0.0512143,-0.014564,0.0220698,0.0620166,-0.00538558,profiles/BH_261_AL_3.txt
BH_261_AL_3,BH_261_AL_3,0.00666667,0.0315913,0.0550371,0.0780849,0.107294,0.139095,-0.0962531,-0.0530026,-0.015117,0.0226997,0.0639856,-0.0054413,profiles/BH_261_AL_3.txt
