cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
NGC6171,NGC_6171_M107,catalogues/NGC_6171_M107.txt,10684,10684,8547,8503,8373,7999,7602,3915,111.15,378.37000000000006,19.4601,1.3244,-1.96305,-5.93765
NGC6205,NGC_6205_M_13,catalogues/NGC_6205_M_13.txt,37720,37720,29304,32244,31878,31035,30323,14484,187.85000000000002,326.7,19.3405,0.7638,-3.137,-2.5871
NGC6218,NGC_6218_M_12,catalogues/NGC_6218_M_12.txt,22224,22224,17554,17758,17545,16974,16447,8123,132.5,379.3,19.209449999999997,1.0534,-0.24495,-6.7651
NGC6229,NGC_6229,catalogues/NGC_6229.txt,1597,1597,1184,1170,1135,1046,970,427,146.9,539.0,19.0676,0.9385,-1.1693,-0.5059
NGC6235,NGC_6235,catalogues/NGC_6235.txt,3270,3270,2753,1803,1694,1448,1246,623,75.91,302.0799999999999,19.773,1.2942,-3.78795,-7.13265
NGC6254,NGC_6254_M_10,catalogues/NGC_6254_M_10.txt,32290,32290,26927,22441,22006,20982,20070,10037,87.405,309.2,19.3718,1.1276,-4.63915,-6.51965
NGC6256,NGC_6256,catalogues/NGC_6256.txt,3918,3918,3394,800,674,441,335,168,68.01,204.59000000000006,19.573349999999998,2.3331999999999997,-3.0544000000000002,-2.9399499999999996
NGC6266,NGC_6266_M_62,catalogues/NGC_6266_M_62.txt,53912,53912,42216,12752,9342,4354,2396,1653,164.9,214.6,19.541849999999997,1.47545,-4.05065,-3.64415
NGC6273,NGC_6273_M_19,catalogues/NGC_6273_M_19.txt,39339,39339,31952,9886,9261,7700,6528,2301,113.0,194.2,19.4882,1.2573,-3.1482,-2.8592
NGC6284,NGC_6284,catalogues/NGC_6284.txt,6029,6029,4845,1494,1201,766,578,185,104.6,295.71999999999997,19.5417,1.2488,-3.0909,-3.09
NGC6287,NGC_6287,catalogues/NGC_6287.txt,6892,6892,5869,2999,2743,2161,1730,691,52.81,276.19000000000005,19.795949999999998,1.7009,-4.265499999999999,-2.31495
NGC6293,NGC_6293,catalogues/NGC_6293.txt,13080,13080,9955,2042,1686,1070,764,285,149.2,258.3,19.567050000000002,1.4237,-2.16585,-4.409800000000001
NGC6304,NGC_6304,catalogues/NGC_6304.txt,15428,15428,11104,1703,1366,845,626,232,191.7,208.0,19.124450000000003,1.6254,-3.40855,-4.13535
NGC6316,NGC_6316,catalogues/NGC_6316.txt,9463,9463,6988,766,570,345,230,95,182.6,206.1,19.4068,1.7438,-3.5422,-4.5967
NGC6325,NGC_6325,catalogues/NGC_6325.txt,2726,2726,2284,1036,971,840,736,302,89.625,230.6,19.78085,2.1029,-5.3434,-6.8043
NGC6333,NGC_6333_M_9,catalogues/NGC_6333_M_9.txt,22807,22807,18791,6191,4688,2335,1510,926,107.6,239.6,19.6737,1.3377,-2.2407,-3.5666
NGC6341,NGC_6341_M_92,catalogues/NGC_6341_M_92.txt,18601,18601,14232,15282,15042,14447,13974,6925,192.0,345.4,19.466,0.7191,-4.9046,-0.6627
NGC6342,NGC_6342,catalogues/NGC_6342.txt,6587,6587,5221,1856,1466,810,472,298,119.2,275.24000000000007,19.7778,1.4577,-2.7999,-5.7664
NGC6352,NGC_6352,catalogues/NGC_6352.txt,34948,34948,28530,8376,7026,4651,3296,1783,95.96,252.6299999999999,19.3572,1.2654,-2.2142,-4.60175
NGC6355,NGC_6355,catalogues/NGC_6355.txt,4917,4917,3646,1038,884,645,502,160,164.0,218.92000000000044,19.5284,1.99635,-3.4943,-3.3211
NGC6356,NGC_6356,catalogues/NGC_6356.txt,22584,22584,18907,2241,1541,936,716,361,102.3,173.77000000000007,19.578449999999997,1.2822,-2.81265,-4.1506
NGC6362,NGC_6362,catalogues/NGC_6362.txt,23789,23789,19137,16155,15868,15176,14528,7073,136.4,475.12000000000006,19.5132,0.9135,-5.4084,-4.8039
