cluster_id,GC_NAME,dPOS,dRV,dPM,dFeH,RV_Prob,VB_PROB,VHELIO_AVG,VERR,GAIAEDR3_SOURCE_ID,GAIAEDR3_PARALLAX,GAIAEDR3_PMRA,GAIAEDR3_PMDEC,GAIAEDR3_PHOT_G_MEAN_MAG,M_H,M_H_ERR,C_FE,C_FE_ERR,N_FE,N_FE_ERR,O_FE,O_FE_ERR,MG_FE,MG_FE_ERR,AL_FE,AL_FE_ERR,SI_FE,SI_FE_ERR,FE_H,FE_H_ERR
NGC0104,NGC0104,0.15359044379317516,0.15202546119689941,0.0992565006017685,-1.3712085485458374,0.7480811476707458,1.0,-15.62569522857666,0.06742232292890549,4689618822796728064,0.18300841748714447,5.220607280731201,-2.4945626258850098,13.817299842834473,-0.8054599761962891,0.011050300672650337,-0.6135199069976807,0.04726066067814827,1.257870078086853,0.047666359692811966,0.30352306365966797,0.07067780196666718,0.2778230309486389,0.023458529263734818,0.37582099437713623,0.03407450020313263,0.29115062952041626,0.028211506083607674,-0.8267300128936768,0.011662814766168594
NGC0104,NGC0104,0.14934437695873976,0.7119072079658508,0.5953208208084106,0.09662727266550064,0.5698245167732239,0.9999899999999999,-8.907114028930664,0.0702933594584465,4689618547918514304,0.2159086912870407,5.545629978179932,-2.806809186935425,13.866499900817871,-0.7180899977684021,0.01084956619888544,0.09841901063919067,0.03789011761546135,0.06560397148132324,0.039567749947309494,0.4898729920387268,0.052119091153144836,0.34754300117492676,0.02189703844487667,0.29208099842071533,0.0335860401391983,0.28512057662010193,0.02630513906478882,-0.7368699908256531,0.011761194095015526
NGC0104,NGC0104,0.14023220695098634,0.3013596534729004,0.6472837924957275,0.04370304197072983,0.7196892499923706,1.0,-13.833684921264648,0.04722678288817406,4689614802707076864,0.18494510650634766,5.419595718383789,-2.94016170501709,13.62909984588623,-0.731190025806427,0.009976756758987904,-0.13840001821517944,0.03475052863359451,1.0237199068069458,0.036762963980436325,0.2690029442310333,0.047693271189928055,0.32217296957969666,0.020293505862355232,0.25707095861434937,0.029850497841835022,0.28751054406166077,0.023980317637324333,-0.7401099801063538,0.01075711939483881
NGC0104,NGC0104,0.1352872987956083,0.4544195234775543,2.4542527198791504,-0.8288963437080383,0.6772334575653076,0.9651200000000001,-11.996966361999512,0.061863187700510025,4689617826353152512,0.5263711214065552,3.772846221923828,-1.9274415969848633,13.789299964904785,-0.7793700098991394,0.010607943870127201,-0.40292996168136597,0.04405050724744797,1.152400016784668,0.04496635124087334,0.26074302196502686,0.06576945632696152,0.2671930193901062,0.02240140549838543,0.42333102226257324,0.032484639436006546,0.2442505955696106,0.02685791626572609,-0.7995700240135193,0.011231432668864727
NGC0104,NGC0104,0.1408718296757576,0.7541249394416809,0.7986971735954285,-0.6395772099494934,0.5476819276809692,0.99995,-8.400501251220703,0.05405053868889809,4689614733987611136,0.21114172041416168,4.729444980621338,-2.565802812576294,13.86400032043457,-0.7709900140762329,0.010544974356889725,0.045806944370269775,0.03780730813741684,0.6963699460029602,0.03941424936056137,0.31223297119140625,0.05155135691165924,0.3625129759311676,0.021560480818152428,0.27988100051879883,0.03175123780965805,0.25650060176849365,0.0255317073315382,-0.7819399833679199,0.011327194049954414
NGC0104,NGC0104,0.1814494224467248,-0.5998474955558777,0.1884947270154953,-0.8927651047706604,0.7405945658683777,1.0,-24.648170471191406,0.05685465410351753,4689812577351619328,0.1904042512178421,5.157566070556641,-2.4718847274780273,13.815899848937988,-0.791700005531311,0.01041040476411581,-0.2439400553703308,0.04062708839774132,1.0521299839019775,0.04191982373595238,0.21922296285629272,0.05795929953455925,0.33837297558784485,0.021748827770352364,0.33045098185539246,0.03127913177013397,0.23828059434890747,0.02577594853937626,-0.8104299902915955,0.011063038371503353
NGC0104,NGC0104,0.13155818698523647,0.4958004951477051,1.2859910726547241,0.1915312260389328,0.6631479263305664,0.99995,-11.500394821166992,0.030946500599384308,4689614837066802944,0.19181741774082184,5.859634876251221,-3.13266658782959,13.558899879455566,-0.7257999777793884,0.008382988162338734,0.0650680661201477,0.01915554143488407,0.5861900448799133,0.02184309996664524,0.3450830578804016,0.02022852748632431,0.3649730384349823,0.01573086716234684,0.3227810263633728,0.022402381524443626,0.24770063161849976,0.017432628199458122,-0.7310600280761719,0.00935499370098114
NGC0104,NGC0104,0.12970045776758288,0.7170142531394958,0.6392312049865723,-0.0743974968791008,0.567211925983429,0.9999899999999999,-8.845829963684082,0.03104439564049244,4689617792004292096,0.23890185356140137,5.24643087387085,-2.969625234603882,12.701899528503418,-0.735289990901947,0.007966694422066212,-0.280009925365448,0.019826116040349007,1.0508500337600708,0.02258448675274849,0.20854300260543823,0.02209724858403206,0.29105302691459656,0.0153256980702281,0.3525310158729553,0.021097250282764435,0.21933060884475708,0.01695234701037407,-0.7473400235176086,0.00877793412655592
NGC0104,NGC0104,0.12259706759987554,0.21005964279174805,0.3902124762535095,0.7354772090911865,0.738444983959198,1.0,-14.929285049438477,0.041600096970796585,4689618891515852160,0.18945343792438507,5.066410541534424,-2.7271888256073,13.70580005645752,-0.7038699984550476,0.010088796727359295,-0.22583001852035522,0.02693748287856579,1.0787299871444702,0.029434803873300552,0.16502100229263306,0.031403228640556335,0.3191929757595062,0.019286416471004486,0.48062098026275635,0.029595201835036278,0.19692057371139526,0.02240695245563984,-0.7142999768257141,0.011205135844647884
NGC0104,NGC0104,0.12300931295844302,0.5182963013648987,1.0866130590438843,1.2959202527999878,0.6549954414367676,0.9999899999999999,-11.23044490814209,0.031515397131443024,4689619166393741824,0.19207866489887238,4.748016357421875,-3.0530178546905518,13.37030029296875,-0.6777799725532532,0.008019634522497654,0.09094303846359253,0.016650840640068054,0.058750033378601074,0.019301801919937134,0.38290300965309143,0.0169738307595253,0.38888299465179443,0.014701892621815205,0.2864009737968445,0.021224545314908028,0.2652006149291992,0.016207151114940643,-0.6747999787330627,0.009067477658390999
