cluster_id,gaia_catalogue_available,gaia_profile_available,hst_hacks_profile_available,apogee_available,n_gaia_profile_bins,n_hst_bins,n_apogee_rows,median_gaia_density_arcmin2,ready_for_gaia_hst_validation
NGC6539,1,1,0,0,101,0,0,48.4,0
NGC6540,1,1,0,0,101,0,0,187.0,0
NGC6541,1,1,1,0,101,21,0,72.34,1
NGC6544,1,1,0,0,101,0,0,139.0,0
NGC6553,1,1,0,0,101,0,0,170.4,0
NGC6558,1,1,0,0,101,0,0,173.8,0
NGC6569,1,1,0,0,101,0,0,172.0,0
NGC6584,1,1,1,0,101,5,0,84.495,1
NGC6624,1,1,1,0,101,18,0,160.2,1
NGC6626,1,1,0,0,101,0,0,182.0,0
NGC6637,1,1,1,0,101,22,0,110.5,1
NGC6638,1,1,0,0,101,0,0,178.6,0
NGC6642,1,1,0,0,101,0,0,167.0,0
NGC6652,1,1,1,0,101,7,0,138.0,1
NGC6656,1,1,1,0,101,16,0,149.0,1
NGC6681,1,1,1,0,101,14,0,84.83,1
NGC6712,1,1,0,0,101,0,0,140.4,0
NGC6715,1,1,1,0,101,16,0,76.04,1
NGC6717,1,1,1,0,101,5,0,84.915,1
NGC6723,1,1,1,0,101,11,0,80.495,1
NGC6749,1,1,0,0,101,0,0,82.77,0
NGC6752,1,1,1,0,101,18,0,80.905,1
NGC6760,1,1,0,0,101,0,0,110.8,0
NGC6779,1,1,1,0,101,5,0,81.03,1
NGC6791,0,0,1,0,0,3,0,,0
NGC6809,1,1,1,0,101,7,0,118.7,1
NGC6838,1,1,1,0,101,4,0,96.24,1
NGC6864,1,1,0,0,101,0,0,89.25,0
NGC6934,1,1,1,0,101,16,0,107.2,1
NGC6981,1,1,1,0,101,3,0,166.7,1
NGC7006,1,0,0,0,0,0,0,25.07,0
NGC7078,1,1,1,0,101,21,0,109.0,1
NGC7089,1,1,1,0,101,26,0,114.9,1
NGC7099,1,1,1,0,101,13,0,120.6,1
NGC7492,1,0,0,0,0,0,0,33.68,0
PAL01,1,0,0,1,0,0,3,7.506,0
PAL02,1,0,0,0,0,0,0,71.54,0
PAL03,1,0,0,0,0,0,0,7.401,0
PAL04,1,0,0,0,0,0,0,15.92,0
PAL05,1,0,0,0,0,0,0,5.116,0
PAL06,1,1,0,0,101,0,0,178.0,0
PAL08,1,1,0,0,101,0,0,112.9,0
PAL10,1,1,0,0,101,0,0,57.745,0
PAL11,1,0,0,0,0,0,0,30.37,0
PAL12,1,0,0,0,0,0,0,24.0,0
PAL13,1,0,0,0,0,0,0,7.018,0
PAL14,1,0,0,0,0,0,0,2.278,0
PAL15,1,0,0,0,0,0,0,7.306,0
