cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC2808,13,370,52.5844,0.248,0.007,0.217795977218588,0.0276554203245166,-0.0302040227814117,-0.121790414441176,-1.05876604107907,-1.05876604107907,0.253,0.01,0.242,0.009,0.0850661625708885,114.8,132
NGC2808,14,370,55.5862,0.235,0.006,0.216869748606073,0.0266415516906521,-0.0181302513939274,-0.0771500059316061,-0.663897003834194,-0.663897003834194,0.248,0.009,0.222,0.009,0.198686264308012,114.8,132
NGC2808,15,370,58.6705,0.233,0.006,0.215876941542653,0.0256026775387215,-0.0171230584573472,-0.0734895212761683,-0.651157667296115,-0.651157667296115,0.248,0.01,0.217,0.008,0.234375,114.8,132
NGC2808,16,370,61.8199,0.232,0.006,0.214915642062398,0.0245967729484972,-0.017084357937602,-0.0736394738689743,-0.674790915502058,-0.674790915502058,0.232,0.009,0.232,0.009,0.0,114.8,132
NGC2808,17,370,65.2062,0.234,0.006,0.213763512849391,0.0235421875797397,-0.0202364871506091,-0.0864807143188422,-0.832957407533894,-0.832957407533894,0.245,0.009,0.223,0.008,0.171528529779259,114.8,132
NGC2808,18,370,68.4998,0.224,0.006,0.212611789401445,0.0225532036513526,-0.0113882105985554,-0.0508402258864081,-0.487975405834077,-0.487975405834077,0.231,0.009,0.219,0.008,0.101197503794907,114.8,132
NGC2808,19,370,72.1304,0.231,0.006,0.211395811269024,0.0215133871119987,-0.0196041887309755,-0.0848666178830109,-0.87775721926759,-0.87775721926759,0.232,0.009,0.23,0.009,0.0171670630202141,114.8,132
NGC2808,20,370,76.2377,0.215,0.006,0.209829135546188,0.0203010001518143,-0.0051708644538121,-0.0240505323433125,-0.244264779155083,-0.244264779155083,0.231,0.009,0.199,0.007,0.257866231892206,114.8,132
NGC2808,21,370,80.707,0.207,0.006,0.208217515968879,0.0190538329609109,0.0012175159688792,0.0058817196564212,0.0609483281701499,0.0609483281701499,0.222,0.008,0.192,0.007,0.252008765522279,114.8,132
NGC2808,22,370,85.5369,0.212,0.006,0.206562704825392,0.0177698030784201,-0.0054372951746077,-0.0256476187481497,-0.289905223726553,-0.289905223726553,0.22,0.008,0.207,0.008,0.114690082644628,114.8,132
